name,slug,abbr,artist,cover,debut,last_played,times_played
Guelah Papyrus,guelah-papyrus,Guelah,Phish,FALSE,1991-02-01,2024-08-30,206
Gumbo,gumbo,,Phish,FALSE,1990-09-28,2024-08-10,120
Guy Forget,guy-forget,,Phish,FALSE,2000-10-01,2024-08-03,4
Guyute,guyute,,Phish,FALSE,1994-10-07,2024-07-23,134
Gypsy Queen,gypsy-queen,,Gabor Szabo,TRUE,1996-08-07,1997-06-24,3
Ha Ha Ha,ha-ha-ha,,Phish,FALSE,1995-05-16,2021-08-27,33
Halfway Home,halfway-home,,Ghosts of the Forest,TRUE,2019-06-23,2019-06-23,1
Halfway to the Moon,halfway-to-the-moon,,Phish,FALSE,2010-06-19,2024-08-02,53
Halley's Comet,halleys-comet,Halley's,Phish,FALSE,1986-05-17,2024-08-10,153
Hang On to Yourself,hang-on-to-yours,,Arnold Corns,TRUE,2016-10-31,2016-10-31,1
Happiness Is a Warm Gun,happiness-is-a-warm-gun,,The Beatles ,TRUE,1994-10-31,2012-07-03,2
Happy,happy,,The Rolling Stones,TRUE,2009-10-31,2009-10-31,1
Happy Birthday to You,happy-birthday-to-you,Happy Birthday,Traditional,TRUE,1983-12-02,2023-07-23,22
Harpua,harpua,,Phish,FALSE,1987-05-11,2023-12-31,66
Harry Hood,harry-hood,Hood,Phish,FALSE,1985-10-30,2024-08-29,423
Have Mercy,have-mercy,,The Mighty Diamonds,TRUE,1986-04-01,2020-02-22,17
Head Held High,head-held-high,,The Velvet Underground,TRUE,1998-10-31,2012-07-04,2
Heart and Soul,heart-and-soul,,Larry Clinton Orchestra,TRUE,1995-11-29,1995-11-29,1
Heartbreaker,heartbreaker,,Led Zeppelin,TRUE,2010-10-30,2013-07-16,2
Heavy Rotation,heavy-rotation,,Page McConnell,TRUE,2015-07-22,2022-09-03,3
Heavy Things,heavy-things,,Phish,FALSE,1999-09-11,2024-08-02,98
Hello My Baby,hello-my-baby,,Howard and Emerson,TRUE,1995-09-27,2019-12-03,57
Help Me,help-me,,Sonny Boy Williamson,TRUE,1993-04-10,1993-04-10,1
Help on the Way,help-on-the-way,,Grateful Dead,TRUE,1986-04-01,1986-04-01,1
Helpless,helpless,,"Crosby, Stills, Nash, and Young",TRUE,1998-10-17,1998-10-17,1
Helpless Dancer,helpless-dancer,,The Who,TRUE,1995-10-31,1995-10-31,1
Helter Skelter,helter-skelter,,The Beatles,TRUE,1994-10-31,1994-11-17,2
Hey Stranger,hey-stranger,,Trey Anastasio,TRUE,2022-12-29,2024-08-30,9
High-Heel Sneakers,high-heel-sneakers,,Tommy Tucker,TRUE,1994-04-23,1994-04-23,1
Highway to Hell,highway-to-hell,,AC/DC,TRUE,1989-10-01,2009-08-16,77
Hold Whatcha Got,hold-whatcha-got,,Jimmy Martin and His Sunny Mountain Boys,TRUE,2000-06-22,2000-06-22,1
Hold Your Head Up,hold-your-head-up,HYHU,Argent,TRUE,1987-08-21,2023-07-29,312
Hold to a Dream,hold-to-a-dream,,Tim O'Brien,TRUE,1996-08-07,1996-08-07,1
Home,home,,Phish,FALSE,2016-10-14,2019-07-02,7
Honey Pie,honey-pie,,The Beatles,TRUE,1994-10-31,1994-10-31,1
Honky Tonk Women,honky-tonk-women,,The Rolling Stones,TRUE,1993-04-12,1994-06-30,2
Hoochie Coochie Man,hoochie-coochie-man,,Muddy Waters,TRUE,1993-04-10,1997-08-08,2
Horn,horn,,Phish,FALSE,1990-05-24,2024-07-31,176
Houses in Motion,houses-in-motion,,Talking Heads,TRUE,1996-10-31,1996-10-31,1
How High the Moon,how-high-the-moon,,Hamilton and Lewis,TRUE,1990-04-21,2009-08-13,5
How Many People Are You,how-many-people-are-you,,Mike Gordon,TRUE,2015-07-22,2021-08-29,10
Human Nature,human-nature,,Phish,FALSE,2024-07-20,2024-08-11,2
Hurricane,hurricane,,Bob Dylan,TRUE,1985-11-14,1985-11-14,1
I Always Wanted It This Way,i-always-wanted-it-this-way,,Phish,FALSE,2016-10-15,2024-08-02,20
I Am Hydrogen,i-am-hydrogen,Hydrogen,Phish,FALSE,1985-04-06,2024-08-17,348
I Am in Miami,i-am-in-miami,,Phish,FALSE,2021-10-31,2022-05-28,2
I Am the Sea,i-am-the-sea,,The Who,TRUE,1995-10-31,1995-10-31,1
I Am the Walrus,i-am-the-walrus,,The Beatles,TRUE,2010-06-29,2023-10-11,7
I Been Around,i-been-around,,Phish,FALSE,2009-08-16,2022-07-14,9
I Been to Georgia on a Fast Train,i-been-to-georgia-on-a-fast-train,,Billy Joe Shaver,TRUE,1993-05-06,1993-05-06,1
I Can't Turn You Loose,i-cant-turn-you-loose,,Otis Redding,TRUE,1997-12-29,1999-09-29,2
I Didn't Know,i-didnt-know,IDK,Phish,FALSE,1987-11-18,2024-08-03,263
I Don't Care,i-dont-care,,Phish,FALSE,1997-06-16,1997-06-20,2
I Found a Reason,i-found-a-reason,,The Velvet Underground,TRUE,1998-10-31,2016-06-22,2
I Get a Kick Out of You,i-get-a-kick-out-of-you,,Dinah Washington,TRUE,1998-08-02,1998-11-09,2
I Just Want To See His Face,i-just-want-to-see-his-face,,The Rolling Stones,TRUE,2009-10-31,2009-10-31,1
I Kissed a Girl,i-kissed-a-girl,,Katy Perry,TRUE,2009-08-16,2009-08-16,1
I Know a Little,i-know-a-little,,Lynyrd Skynyrd,TRUE,1986-12-06,1988-08-03,5
I Never Left Home,i-never-left-home,,Trey Anastasio,TRUE,2021-10-19,2021-10-19,1
I Never Needed You Like This Before,i-never-needed-you-like-this-before,,Trey Anastasio,TRUE,2021-07-28,2024-08-11,14
I Shall Be Released,i-shall-be-released,,The Band,TRUE,1998-10-18,1998-10-18,1
I Told You So,i-told-you-so,,Jimmie Davis,TRUE,1997-03-18,1997-03-18,1
I Walk the Line,i-walk-the-line,,Johnny Cash,TRUE,1992-11-19,1993-03-09,10
I Wan'na Be Like You,i-wanna-be-like-you,,Louis Prima,TRUE,1994-04-04,1994-06-10,9
I Want To Be a Cowboy's Sweetheart,i-want-to-be-a-cowboys-sweetheart,,Patsy Montana,TRUE,1996-12-06,1996-12-06,1
I Will,i-will,,The Beatles,TRUE,1994-10-31,1994-10-31,1
I Wish,i-wish,,Stevie Wonder,TRUE,1985-04-06,1985-10-30,2
I'll Come Running,ill-come-running,,Brian Eno,TRUE,1995-05-16,1995-05-16,1
"I'm Blue, I'm Lonesome",im-blue-im-lonesome,,Bill Monroe,TRUE,1994-11-16,2000-06-22,30
I'm Gonna Be (500 Miles),im-gonna-be-500-miles,,The Proclaimers,TRUE,1997-12-30,1997-12-30,1
I'm One,im-one,,The Who,TRUE,1995-10-31,1995-10-31,1
I'm So Tired,im-so-tired,,The Beatles,TRUE,1994-10-31,1995-11-18,2
I've Had Enough,ive-had-enough,,The Who,TRUE,1995-10-31,1995-10-31,1
I've Turned Bad,ive-turned-bad,,,TRUE,1989-05-09,1989-05-09,1
Icculus,icculus,,Phish,FALSE,1986-04-01,2023-07-11,29
Idea,idea,,Phish,FALSE,2010-06-15,2010-06-15,1
If 6 Was 9,if-6-was-9,,Jimi Hendrix Experience,TRUE,2021-10-28,2021-10-28,1
If I Could,if-i-could,,Phish,FALSE,1994-04-04,2024-07-31,67
If I Don't Be There By Morning,if-i-dont-be-there-by-morning,,Eric Clapton,TRUE,1989-05-09,1989-05-09,1
If I Only Had a Brain,if-i-only-had-a-brain,,Ray Bolger (as “The Scarecrow”),TRUE,1989-03-12,1995-11-16,41
If You Need a Fool,if-you-need-a-fool,,The Del McCoury Band,TRUE,1998-07-29,1999-07-18,3
Immigrant Song,immigrant-song,,Led Zeppelin,TRUE,1989-07-01,1995-11-14,2
In The Good Old Summer Time,in-the-good-old-summer-time,,,TRUE,2017-07-14,2017-07-30,2
In a Hole,in-a-hole,,Phish,FALSE,1989-10-20,1989-12-16,8
In a Mellow Tone,in-a-mellow-tone,,Duke Ellington,TRUE,1989-08-12,1989-08-12,1
In the Aeroplane Over the Sea,in-the-aeroplane-over-the-sea,,Neutral Milk Hotel,TRUE,2010-06-26,2010-06-26,1
In the Midnight Hour,in-the-midnight-hour,,Wilson Pickett,TRUE,1983-12-02,1985-09-27,5
Infinite,infinite,,Phish,FALSE,2018-07-21,2018-08-07,2
Instant Karma!,instant-karma,,John Lennon,TRUE,2010-06-12,2011-08-10,3
Intro,intro-chilling-thrilling,,Phish,FALSE,2014-10-31,2014-10-31,1
Invisible,invisible-2,,Mike Gordon and Leo Kottke,TRUE,2009-11-01,2009-11-01,1
Iron Man,iron-man,,Black Sabbath,TRUE,2003-12-31,2012-12-31,2
Is It In My Head?,is-it-in-my-head,,The Who,TRUE,1995-10-31,1995-10-31,1
Is This What You Wanted,is-this-what-you-wanted,,Leonard Cohen,TRUE,2014-10-31,2014-10-31,1
It Ain't Easy,it-aint-easy,,Ron Davies,TRUE,2016-10-31,2016-10-31,1
It's All Right,its-all-right,,Bruce Sunpie Barnes and the Louisiana Sunspots,TRUE,1993-03-02,1993-03-02,1
It's Ice,its-ice,,Phish,FALSE,1991-09-25,2024-08-07,249
Izabella,izabella,,Jimi Hendrix Experience,TRUE,1997-06-13,2024-08-18,19
Jam,jam,,Traditional,TRUE,1984-11-03,2014-07-27,74
Jennifer Dances,jennifer-dances,,Phish,FALSE,1999-12-05,2014-07-27,4
Jessica,jessica,,The Allman Brothers Band,TRUE,1993-05-08,1993-05-08,1
Jesus Just Left Chicago,jesus-just-left-chicago,JJLC,ZZ Top,TRUE,1987-08-10,2019-12-03,81
John Hardy,john-hardy,,Traditional,TRUE,1994-11-19,1994-11-19,1
Johnny B. Goode,johnny-b-goode,JBG,Chuck Berry,TRUE,1995-06-17,1998-07-08,23
Joy,joy,,Phish,FALSE,2009-06-07,2024-07-21,56
Julia,julia,,The Beatles,TRUE,1994-10-31,1994-10-31,1
Julius,julius,,Phish,FALSE,1994-04-04,2024-08-09,236
Jump Monk,jump-monk,,Charles Mingus,TRUE,1988-03-12,1994-04-24,2
Jumpin' Jack Flash,jumpin-jack-flash,,The Rolling Stones,TRUE,2010-06-27,2010-06-27,1
Jungle Boogie,jungle-boogie,,Kool and the Gang,TRUE,2003-12-31,2022-12-31,2
Jägermeister Song,jagermeister-song,,Phish,FALSE,1990-04-18,1990-05-06,2
Keeping It Real,keeping-it-real,,Phish,FALSE,2018-07-25,2018-09-02,2
Keyboard Army,keyboard-army,,Phish,FALSE,1995-09-27,2015-09-06,14
Kill Devil Falls,kill-devil-falls,KDF,Phish,FALSE,2009-06-02,2024-08-31,113
Killer Joe,killer-joe,,Phish,FALSE,1990-03-17,1990-03-17,1
Killing in the Name,killing-in-the-name,,Rage Against the Machine,TRUE,2010-07-04,2010-07-04,1
Knuckle Bone Broth Avenue,knuckle-bone-broth-avenue,,Phish,FALSE,2021-10-31,2024-08-04,3
Kung,kung,,Phish,FALSE,1989-10-31,2019-11-30,38
L.A. Woman,la-woman,,The Doors,TRUE,2003-12-30,2021-10-24,2
La Grange,la-grange,,ZZ Top,TRUE,1987-08-09,2012-07-08,82
Lady Stardust,lady-stardust,,David Bowie,TRUE,2016-10-31,2016-10-31,1
Lawn Boy,lawn-boy,,Phish,FALSE,1989-11-30,2024-07-31,220
Layla,layla,,Derek and the Dominoes,TRUE,1998-11-29,1998-11-29,1
Le Freak,le-freak,,Chic,TRUE,1989-04-13,1989-04-13,1
Leaves,leaves,,Phish,FALSE,2017-07-14,2024-07-24,16
Legalize It,legalize-it,,Peter Tosh,TRUE,2013-09-01,2013-09-01,1
Lengthwise,lengthwise,,Phish,FALSE,1992-11-19,2019-07-09,31
Leprechaun,leprechaun,,Phish,FALSE,1993-07-15,1993-07-31,3
Let It Loose,let-it-loose,,The Rolling Stones,TRUE,2009-10-31,2012-06-30,3
Let Me Lie,let-me-lie,,Trey Anastasio,TRUE,2009-06-06,2016-10-15,10
Let's Go,lets-go,,Phish,FALSE,2016-07-01,2016-10-21,2
Let's Go,lets-go-the-cars,,The Cars,TRUE,1991-02-04,1991-03-22,6
Letter to Jimmy Page,letter-to-jimmy-page,LTJP,Phish,FALSE,1985-04-06,2023-07-12,97
Life Saving Gun,life-saving-gun,,Phish,FALSE,2023-07-30,2024-09-01,9
Life on Mars?,life-on-mars,,David Bowie,TRUE,1995-10-13,2012-06-29,23
Lifeboy,lifeboy,,Phish,FALSE,1993-02-03,2024-07-27,61
Light,light,,Trey Anastasio,TRUE,2009-05-31,2024-09-01,123
Light Up Or Leave Me Alone,light-up-or-leave-me-alone,Light Up,Traffic,TRUE,1986-12-06,2012-07-06,19
Limb By Limb,limb-by-limb,LxL,Phish,FALSE,1997-06-13,2024-08-11,156
Listening Wind,listening-wind,,Talking Heads,TRUE,1996-10-31,1996-10-31,1
Lit O Bit,lit-o-bit,,Rita Clarke and the Naturals,TRUE,2010-06-22,2010-06-22,1
Little Red Rooster,little-red-rooster,,Howlin' Wolf,TRUE,1997-02-25,1997-02-25,1
Little Tiny Butter Biscuits,little-tiny-butter-biscuits,,"""Reverend"" Jeff Mosier",TRUE,1994-11-18,1994-11-22,4
Lively Up Yourself,lively-up-yourself,,Bob Marley and The Wailers,TRUE,1992-04-21,1992-04-21,1
Llama,llama,,Phish,FALSE,1990-10-27,2024-08-29,320
Lonely Trip,lonely-trip,,Trey Anastasio,TRUE,2021-08-11,2024-08-15,20
Lonesome Cowboy Bill,lonesome-cowboy-bill,,The Velvet Underground,TRUE,1995-05-16,2016-12-28,8
Long Cool Woman in a Black Dress,long-cool-woman-in-a-black-dress,,The Hollies,TRUE,1983-12-02,2003-12-01,3
Long Long Long,long-long-long,,The Beatles,TRUE,1994-10-31,1994-10-31,1
Look Out Cleveland,look-out-cleveland,,The Band,TRUE,2010-06-12,2010-06-12,1
Loup Garou,loup-garou,,Bruce Sunpie Barnes and the Louisiana Sunspots,TRUE,1993-03-02,1993-03-02,1
Love Is What We Are,love-is-what-we-are,,Phish,FALSE,2017-07-14,2017-07-14,1
Love Me,love-me,,Elvis Presley,TRUE,1997-02-13,1998-11-18,9
Love Me Like a Man,love-me-like-a-man,,Bonnie Raitt,TRUE,1997-03-18,1997-03-18,1
Love You,love-you,,Syd Barrett,TRUE,1987-10-31,2016-07-16,93
"Love, Reign O'er Me",love-reign-oer-me,,The Who,TRUE,1995-10-31,1995-10-31,1
Loving Cup,loving-cup,,The Rolling Stones,TRUE,1993-02-03,2024-08-31,151
Low Rider,low-rider,,War,TRUE,1985-09-27,2003-07-15,7
Lucky Seven,lucky-seven,,Dave Holland,TRUE,1989-08-12,1989-08-12,1
Lullaby of Birdland,lullaby-of-birdland,,Ella Fitzgerald,TRUE,1992-03-28,1992-03-28,1
Lushington,lushington,,Phish,FALSE,1986-10-15,1987-09-02,8
Magilla,magilla,,Phish,FALSE,1990-09-13,2003-07-22,71
Maiden Voyage,maiden-voyage,,Herbie Hancock,TRUE,1988-07-30,1988-07-30,1
Makisupa Policeman,makisupa-policeman,Makisupa,Phish,FALSE,1984-10-23,2023-07-11,108
Mallory,mallory,,Phish,FALSE,1995-12-15,1995-12-15,1
Manteca,manteca,,Dizzy Gillespie,TRUE,1990-11-04,2020-02-22,15
Maple Leaf Rag,maple-leaf-rag,,Scott Joplin,TRUE,2017-08-01,2017-08-01,1
Marissa,marissa,,Mike Gordon,TRUE,2017-07-19,2017-07-19,1
Martha My Dear,martha-my-dear,,The Beatles,TRUE,1994-10-31,1994-10-31,1
Martian Monster,martian-monster,,Phish,FALSE,2014-10-31,2024-08-18,45
Maybe,maybe,,Vida Blue,TRUE,2019-11-29,2019-11-29,1
Maze,maze,,Phish,FALSE,1992-03-06,2024-08-31,340
McGrupp and the Watchful Hosemasters,mcgrupp-and-the-watchful-hosemasters,McGrupp,Phish,FALSE,1985-04-06,2024-08-04,119
Mean Mr. Mustard,mean-mr-mustard,,The Beatles,TRUE,1996-11-15,1996-11-15,1
Meat,meat,,Phish,FALSE,1998-07-02,2024-07-30,49
Meatstick,meatstick,,Phish,FALSE,1997-06-25,2024-08-17,73
Mellow Mood,mellow-mood,,Bob Marley and The Wailers,TRUE,2000-09-08,2018-09-02,10
Melt the Guns,melt-the-guns,,XTC,TRUE,1985-09-27,1987-04-29,4
Memories,memories,,Van Alstyne and Kahn,TRUE,1990-11-17,1994-07-06,42
Mercenary Territory,mercenary-territory,,Little Feat,TRUE,2010-10-31,2010-10-31,1
Mercury,mercury,,Phish,FALSE,2015-07-22,2024-07-26,39
Mercy,mercy,,Trey Anastasio,TRUE,2023-07-18,2024-07-23,5
Merry Pranksters Jam,merry-pranksters-jam,,Phish,FALSE,1997-08-14,1997-08-14,1
Messin' with The Kid,messin-with-the-kid,,Phish,FALSE,1997-08-08,1999-10-03,2
Metal Bagel Death,metal-bagel-death,,Phish,FALSE,1990-05-04,1990-05-04,1
Mexican Cousin,mexican-cousin,,Phish,FALSE,2003-01-02,2019-07-06,15
Middle of the Road,middle-of-the-road,,Mike Gordon and Leo Kottke,TRUE,2009-08-08,2009-08-14,2
Midnight Moonlight,midnight-moonlight,,Peter Rowan,TRUE,1994-11-19,1994-11-19,1
Midnight Rider,midnight-rider,,The Allman Brothers Band,TRUE,1994-06-22,1994-06-22,1
Midnight on the Highway,midnight-on-the-highway,,Hot Rize,TRUE,1996-11-23,1996-11-23,1
Mike's Song,mikes-song,Mike's,Phish,FALSE,1985-03-16,2024-08-17,533
Mind Left Body Jam,mind-left-body-jam,,"Paul Kantner, Grace Slick, and David Freiberg",TRUE,1992-04-18,2016-06-28,8
Minute by Minute,minute-by-minute,,Doobie Brothers,TRUE,1990-09-13,1990-10-03,3
Mirror in the Bathroom,mirror-in-the-bathroom,,The English Beat,TRUE,1998-11-27,1998-11-27,1
Miss You,miss-you,,Phish,FALSE,2016-06-24,2024-07-31,20
Misty Mountain Hop,misty-mountain-hop,,Led Zeppelin,TRUE,1999-07-20,1999-10-10,4
Mo' Better Blues,mo-better-blues,,Terence Blanchard,TRUE,1990-09-22,1990-11-26,2
Moby Dick,moby-dick,,Led Zeppelin,TRUE,1993-02-19,2000-07-11,3
Mock Song,mock-song,,Phish,FALSE,2003-07-12,2018-10-19,3
Money,money,,Pink Floyd,TRUE,1998-11-02,1998-11-02,1
Monkey Man,monkey-man,,The Rolling Stones,TRUE,2011-07-02,2011-07-02,1
Monsters,monsters,,Trey Anastasio,TRUE,2023-07-22,2024-08-31,5
Moonage Daydream,moonage-daydream,,Arnold Corns,TRUE,2016-10-31,2024-07-27,9
Moonlight in Vermont,moonlight-in-vermont,,Blackburn and Suessdorf,TRUE,1998-10-03,1998-10-03,1
Moose the Mooche,moose-the-mooche,,Charlie Parker Septet,TRUE,1991-07-12,1991-07-12,1
More,more,,Phish,FALSE,2016-10-14,2024-09-01,45
Most Events Aren't Planned,most-events-arent-planned,,Vida Blue,TRUE,2017-08-06,2024-08-31,14
Mother Nature's Son,mother-natures-son,,The Beatles,TRUE,1994-10-31,1994-10-31,1
Mound,mound,,Phish,FALSE,1992-03-06,2023-09-02,117
Mountains in the Mist,mountains-in-the-mist,Mist,Trey Anastasio,TRUE,1999-07-03,2024-08-16,41
Mozambique,mozambique,,Trey Anastasio,TRUE,1999-09-09,1999-09-26,5
Mr. Completely,mr-completely,,Trey Anastasio,TRUE,2003-07-15,2024-07-31,15
Mr. P.C.,mr-pc,,John Coltrane,TRUE,1988-07-30,1991-05-17,3
Mull,mull,,Phish,FALSE,2021-08-03,2024-07-24,13
Mustang Sally,mustang-sally,,Mack Rice,TRUE,1986-10-15,2009-06-14,9
My Favorite Things,my-favorite-things,,Mary Martin & Patricia Neway,TRUE,1989-08-12,1989-08-12,1
"My Friend, My Friend",my-friend-my-friend,My Friend,Phish,FALSE,1992-03-06,2024-09-01,173
My Generation,my-generation,,The Who,TRUE,1995-10-31,1995-10-31,1
My Left Toe,my-left-toe,,Phish,FALSE,1999-06-30,1999-07-25,4
My Life As a Pez,my-life-as-a-pez,,Dave Abrahams,TRUE,1993-03-28,1993-03-28,1
My Long Journey Home,my-long-journey-home,,Bill Monroe,TRUE,1994-11-16,1995-11-29,15
My Mind's Got a Mind of its Own,my-minds-got-a-mind-of-its-own,MMGAMOIO,Jimmie Dale Gilmore,TRUE,1992-03-07,2022-05-28,45
My Problem Right There,my-problem-right-there,,Phish,FALSE,2010-10-10,2010-10-22,3
My Soul,my-soul,,Clifton Chenier,TRUE,1997-02-13,2024-08-07,92
My Sweet One,my-sweet-one,MSO,Phish,FALSE,1989-09-09,2022-08-10,251
NICU,nicu,,Phish,FALSE,1992-03-06,2024-08-15,156
NO2,no2,,Phish,FALSE,1994-06-25,2021-10-28,9
Nellie Kane,nellie-kane,,Hot Rize,TRUE,1993-02-23,2024-08-06,74
Never,never,,Phish,FALSE,1998-10-17,1998-10-17,1
New Age,new-age,,The Velvet Underground,TRUE,1998-10-31,1998-10-31,1
Night Moves,night-moves,,Bob Seger,TRUE,1995-10-02,1995-10-02,1
Night Nurse,night-nurse,,Gregory Isaacs,TRUE,2010-10-26,2010-10-26,1
Night and Day,night-and-day,,Ella Fitzgerald,TRUE,1989-08-12,1989-08-12,1
Ninety-Nine Years (and One Dark Day),ninety-nine-years-and-one-dark-day,,Hot Rize,TRUE,1996-08-07,1996-08-07,1
No Dogs Allowed,no-dogs-allowed,,Phish,FALSE,1988-07-23,1990-04-21,6
No Good Trying,no-good-trying,,Syd Barrett,TRUE,1990-12-07,1990-12-28,3
No Men In No Man's Land,no-men-in-no-mans-land,NMINML,Phish,FALSE,2015-07-21,2024-08-30,76
No Quarter,no-quarter,,Led Zeppelin,TRUE,2011-06-01,2023-10-14,19
Not Fade Away,not-fade-away,,The Crickets,TRUE,1986-04-01,1986-04-01,1
Nothin' But A Nothin',nothin-but-a-nothin,,Baby Gramps,TRUE,1993-08-25,1993-08-26,2
Nothing,nothing,,Amfibian,TRUE,2004-06-17,2022-06-01,8
Nowhere Fast,nowhere-fast,,,TRUE,1989-05-09,1989-05-09,1
O Canada,o-canada,,Calixa Lavallee,TRUE,2017-08-01,2017-08-01,1
O Holy Night,o-holy-night,,Adolphe Adam,TRUE,2017-08-02,2017-08-02,1
O Mio Babbino Caro,o-mio-babbino-caro,,Puccini/Forzano,TRUE,1994-05-27,1994-05-27,1
"Ob-La-Di, Ob-La-Da",ob-la-di-ob-la-da,,The Beatles,TRUE,1993-05-06,1994-10-31,2
Oblivion,oblivion,,Trey Anastasio,TRUE,2023-07-11,2024-08-31,15
Ocelot,ocelot,,Phish,FALSE,2009-05-31,2024-08-29,100
Oh Atlanta,oh-atlanta,,Little Feat,TRUE,2010-10-31,2010-10-31,1
Oh! Sweet Nuthin',oh-sweet-nuthin,,The Velvet Underground,TRUE,1998-10-31,2013-08-30,6
Old Folks Boogie,old-folks-boogie,,Little Feat,TRUE,2010-10-31,2010-10-31,1
Olivia's Pool,olivias-pool,,Phish,FALSE,1997-06-13,2023-04-18,10
On Green Dolphin Street,on-green-dolphin-street,,Urbie Green,TRUE,1989-08-12,1989-08-12,1
On My Knees,on-my-knees,,Son Seals,TRUE,1999-07-17,1999-07-17,1
On The Run,on-the-run,,Pink Floyd,TRUE,1998-11-02,1998-11-02,1
On Your Way Down,on-your-way-down,,Allen Toussaint,TRUE,1988-06-24,2011-08-06,22
On the Road Again,on-the-road-again,,Willie Nelson,TRUE,2013-08-31,2017-08-06,2
Once in a Lifetime,once-in-a-lifetime,,Talking Heads,TRUE,1996-10-31,2015-09-06,2
One Meatball,one-meatball,,George Martin Lane,TRUE,1997-02-25,1997-02-25,1
Over the Rainbow,over-the-rainbow,,Judy Garland,TRUE,1992-08-17,1998-08-09,7
Oye Como Va,oye-como-va,,Tito Puente,TRUE,1993-08-28,1993-08-28,1
P-Funk Medley,p-funk-medley,,Parliament-Funkadelic,TRUE,2003-12-30,2003-12-30,1
Party Time,party-time,,Phish,FALSE,2009-08-15,2024-08-18,38
Passing Through,passing-through,,Phish,FALSE,2018-10-31,2022-07-19,6
Paul and Silas,paul-and-silas,,Josh White,TRUE,1990-09-13,2016-07-22,91
Peaches en Regalia,peaches-en-regalia,Peaches,Frank Zappa,TRUE,1986-10-15,2024-08-16,88
Pebbles and Marbles,pebbles-and-marbles,,Trey Anastasio,TRUE,2003-01-03,2024-07-31,29
Petrichor,petrichor,,Trey Anastasio,TRUE,2016-10-14,2022-08-13,13
Phase Dance,phase-dance,,Pat Metheny Group,TRUE,1988-02-07,1988-02-26,4
Piano Duet,piano-duet,,Phish,FALSE,1993-07-28,1994-04-22,2
Pig in a Pen,pig-in-a-pen,,The Stanley Brothers,TRUE,1993-02-21,1994-11-16,2
Piggies,piggies,,The Beatles,TRUE,1985-11-14,1994-10-31,2
Pigtail,pigtail,,Phish,FALSE,2010-12-28,2018-07-24,5
Pillow Jets,pillow-jets,,Trey Anastasio,TRUE,2023-07-21,2024-08-29,9
Piper,piper,,Phish,FALSE,1997-06-14,2024-08-09,199
Plasma,plasma,,Trey Anastasio,TRUE,2014-10-17,2024-08-03,31
Play by Play,play-by-play,,Phish,FALSE,2018-10-31,2019-06-25,3
Playing in the Band,playing-in-the-band,,Grateful Dead,TRUE,2016-10-18,2016-10-18,1
Poor Heart,poor-heart,,Phish,FALSE,1988-08-04,2023-07-18,309
Possum,possum,,Phish,FALSE,1985-09-27,2024-08-30,565
Powderfinger,powderfinger,,Neil Young,TRUE,2017-07-26,2017-07-26,1
Prep School Hippie,prep-school-hippie,,Phish,FALSE,1985-09-27,1987-10-10,6
Prince Caspian,prince-caspian,Caspian,Phish,FALSE,1995-06-08,2024-09-01,177
Proud Mary,proud-mary,,Creedence Clearwater Revival,TRUE,1983-12-02,2003-03-01,2
Psycho Killer,psycho-killer,,Talking Heads,TRUE,1993-03-30,2012-07-06,4
Punch Me in the Eye,punch-me-in-the-eye,,Phish,FALSE,1987-04-24,1987-04-24,1
Punch You in the Eye,punch-you-in-the-eye,PYITE,Phish,FALSE,1989-08-17,2024-08-02,164
Purple Rain,purple-rain,,Prince,TRUE,1993-07-16,2012-07-04,32
Pusherman,pusherman,,Curtis Mayfield,TRUE,1991-11-01,1991-11-01,1
Quadrophenia,quadrophenia,,The Who,TRUE,1995-10-31,1995-10-31,1
Quadrophonic Toppling,quadrophonic-toppling,,Phish,FALSE,1999-12-31,2022-05-27,2
Quinn the Eskimo (The Mighty Quinn),quinn-the-eskimo-the-mighty-quinn,Quinn,Bob Dylan,TRUE,1985-04-06,2019-06-28,38
Ramble On,ramble-on,,Led Zeppelin,TRUE,1998-08-01,2010-10-30,3
Rapper's Delight,rappers-delight,,The Sugarhill Gang,TRUE,2000-09-29,2000-09-29,1
Reba,reba,,Phish,FALSE,1989-10-01,2024-08-16,406
Rescue Squad,rescue-squad,,Phish,FALSE,2019-12-31,2019-12-31,1
Revival,revival,,The Allman Brothers Band,TRUE,1985-10-30,1985-10-30,1
Revolution,revolution,,Phish,FALSE,1985-04-06,1985-10-17,3
Revolution 1,revolution-1,,The Beatles,TRUE,1994-10-31,1994-10-31,1
Revolution 9,revolution-9,,The Beatles,TRUE,1994-10-31,1994-10-31,1
Revolution's Over,revolutions-over,,The Dude of Life (with Phish),TRUE,1990-09-13,1990-09-13,1
Rhinoceros,rhinoceros,,Smashing Pumpkins,TRUE,1998-08-03,1998-08-03,1
Rhombus Narration,rhombus-narration,,Phish,FALSE,1989-09-09,1991-11-15,12
Rhymes,rhymes,,Al Green,TRUE,2011-06-07,2011-06-07,1
Ride Captain Ride,ride-captain-ride,,Blues Image,TRUE,1987-03-23,2013-10-26,17
Rift,rift,,Phish,FALSE,1990-02-25,2024-08-18,310
Rip This Joint,rip-this-joint,,The Rolling Stones,TRUE,2009-10-31,2009-10-31,1
Rise/Come Together,risecome-together,,Trey Anastasio,TRUE,2017-07-19,2022-07-29,19
